case_id,source_file,sha256,status,strict_snapshot_closed,provider_families
ca2-220124d062a8c71c63c5,ca2-220124d062a8c71c63c5.json,d744aab94fb8a79fb0b64d554e983eed0a12488721c428a308d1bbdb74d1939d,VERIFIED,True,alchemy|infura
ca2-22667ec3b73bf4e3f29e,ca2-22667ec3b73bf4e3f29e.json,79b75d1d796a67349e70d1e59d65a1334d8d0117c0bc96da37ee53ce54f73236,VERIFIED,True,alchemy|infura
ca2-22ca428502dddf9f2871,ca2-22ca428502dddf9f2871.json,8dbd1f67597d40ff84be22e0a38f22df98d97ee6bfe87fb5a46c1e167900cfa2,VERIFIED,True,alchemy|infura
ca2-22e8cd13c63b74bc9bbc,ca2-22e8cd13c63b74bc9bbc.json,fa5c6c02a25aadbb1a79375f5e133f15ad3990f07427e22b12e49ed8cd474b99,VERIFIED,True,alchemy|infura
ca2-23403cb09827b5b8f43e,ca2-23403cb09827b5b8f43e.json,620d779596150ad4b18e941f7bdea9f1afda3aadac919b04de3443a94a27d632,VERIFIED,True,alchemy|infura
ca2-252276d076fbf17cb546,ca2-252276d076fbf17cb546.json,a248fe6f75ec226b6801811b5df34d3f9898e01dbaeef29a57ce51d92b8a3951,VERIFIED,True,alchemy|infura
ca2-2656a778ab34f3a823cd,ca2-2656a778ab34f3a823cd.json,df13d5b707b1d0d57bc169da4b20d9f5c0a185ec51c54cbcd5d127ba73c72a06,VERIFIED,True,alchemy|infura
ca2-26661d7a70b3c3c3ab9e,ca2-26661d7a70b3c3c3ab9e.json,dbb9f78b6929f3dbb9a3c241538c3f401d9f3fcd30b928c9122ac03f9603a7e0,VERIFIED,True,alchemy|infura
ca2-275669506c0506e44e0f,ca2-275669506c0506e44e0f.json,5dda03b4aba9804d57541d6431aaec68b3067104f697e27b988a041f70a84bd2,VERIFIED,True,alchemy|infura
ca2-28489e4d5123e702b7a8,ca2-28489e4d5123e702b7a8.json,fe66279ef61df72d55bdf7f64f3c1665aa5bda070c8f71c62d2c14d363304b31,VERIFIED,True,alchemy|infura
ca2-28984dadb4e195ff0adc,ca2-28984dadb4e195ff0adc.json,d6d08da0512c0b4700c60071024ff42a85fb5a303ea2ea07f050bcc686e2f59f,VERIFIED,True,alchemy|infura
ca2-29064c97bd3050d5cc0b,ca2-29064c97bd3050d5cc0b.json,35bbd82f5327b363324d09e67246d827968e282f28bf42590a56f9a2e363fc00,VERIFIED,True,alchemy|infura
ca2-293982257dd654edb222,ca2-293982257dd654edb222.json,6c4d1e4345819d231d72278aaf0b2b604bf32ae68b3dc0319d3bdfd67e064d30,VERIFIED,True,alchemy|infura
ca2-297229c8f057f9088676,ca2-297229c8f057f9088676.json,20d08f5f9396ba0d52a049ae810b8c2dddf0ab9edb7a91076f8184de0491c356,VERIFIED,True,alchemy|infura
ca2-2ba749707a4aa17e7fd0,ca2-2ba749707a4aa17e7fd0.json,afeec5225878217c31fcc428a939ca7ef2ede1013dd96f88d983b29916a7cf59,VERIFIED,True,alchemy|infura
ca2-2c7f349f1a1765272f4b,ca2-2c7f349f1a1765272f4b.json,a35c70069d7c005f0f7a56afc3840bd5a1710d0da53ad62855de9ff37e4d44b9,VERIFIED,True,alchemy|infura
ca2-2d1d603841d5194ab452,ca2-2d1d603841d5194ab452.json,ed7590670fbadfc481e2b27749a6328486d99c6921b3b480cd3d8e47ae8f9b84,VERIFIED,True,alchemy|infura
ca2-2d415ee24d090e5e26dc,ca2-2d415ee24d090e5e26dc.json,10fe96a02bf878b7fbc4c01bc6093cc813653578dc44d3de6e54aac5a63027eb,VERIFIED,True,alchemy|infura
ca2-2dee2c2a8e814aa3fa88,ca2-2dee2c2a8e814aa3fa88.json,b2f00c95c98dff85899e08cabc027b3e2b7d1b509d199ad3c0fed79e122efb09,VERIFIED,True,alchemy|infura
ca2-2f2a6d7666820b172f1a,ca2-2f2a6d7666820b172f1a.json,991a0ebc595cd2c18a6a8c082e0548fc59afcbab004d7766bd281c2d37bc50ef,VERIFIED,True,alchemy|infura
ca2-2f4322a54fd6caa407fe,ca2-2f4322a54fd6caa407fe.json,f8e15d398a540be17ae4073352801cad4f43ae1589befc5d90271d2045b47b27,VERIFIED,True,alchemy|infura
ca2-2f764ff5c7c146ad35b3,ca2-2f764ff5c7c146ad35b3.json,42590648a56487cfb06a450709ebfdec8f852da819eb20853ffc79bc7930c332,VERIFIED,True,alchemy|infura
ca2-2f808fc768214bcb9f7d,ca2-2f808fc768214bcb9f7d.json,15aa964e57352493a7dc537c1e32c38e1dab8d1b5d1aaf6a2b5090e7ce4a4aed,VERIFIED,True,alchemy|infura
ca2-2fce7b426138574319d9,ca2-2fce7b426138574319d9.json,d8fcbe9ee676d3bf17ce563992432d28481b22f17e5953c860ce0e4638c578c1,VERIFIED,True,alchemy|infura
ca2-301863287cb1e49bdbb5,ca2-301863287cb1e49bdbb5.json,54f2fc384bb6deb30fd2c20c23f2e60a84ddbabf122375412d5dd1d90253f83d,VERIFIED,True,alchemy|infura
ca2-3049d2889726467cfdcb,ca2-3049d2889726467cfdcb.json,fd615d6959be711df4bf35801e2123f2411b38f10574ff5939082676b83a275f,VERIFIED,True,alchemy|infura
ca2-30b42ce7f2f4b08cf742,ca2-30b42ce7f2f4b08cf742.json,e1dd660a2379b6d3647e1658892651a8a146077f02b3dc77eb9b805966b853fe,VERIFIED,True,alchemy|infura
ca2-31fe70569e5c85e1450b,ca2-31fe70569e5c85e1450b.json,52f20ae0bfe1c87169b0f80fe94f945a521c352d8ea91c9b59120470d6a0a0d4,VERIFIED,True,alchemy|infura
ca2-324926ca92042b3a084e,ca2-324926ca92042b3a084e.json,b51554a268b1f016620b2a356bb3a15167ba3f757c7318bbdf38490a61ea1247,VERIFIED,True,alchemy|infura
ca2-332ccdc5e82202082265,ca2-332ccdc5e82202082265.json,c5ea0449cd2f2d09cd19621d54490dd08d8b3d8d9304411cd89025c31f3fa67b,VERIFIED,True,alchemy|infura
ca2-33375f53486ac02fc6d2,ca2-33375f53486ac02fc6d2.json,8e4dfef6f01f63fa548dfbc41e345de6a359dedf0e804e30dd8eb8658141bb1e,VERIFIED,True,alchemy|infura
ca2-33876c68131f30cf0f4a,ca2-33876c68131f30cf0f4a.json,69aa5d0fdd793799084e05a5221b1d341e385cc93c982140d62d462287028721,VERIFIED,True,alchemy|infura
ca2-347a5ac7c8586f3866c1,ca2-347a5ac7c8586f3866c1.json,e7398b707843a32eca169676cc423cf8a395fa709a1d53b12345f29c9a875a19,VERIFIED,True,alchemy|infura
ca2-3503e03a9a7fd4a87fe3,ca2-3503e03a9a7fd4a87fe3.json,99492fd88480fac055c54939f8705c1b6ce9ddb1136a60b10b140f6b478e94a7,VERIFIED,True,alchemy|infura
ca2-351de4f0c9d0919d5212,ca2-351de4f0c9d0919d5212.json,5d5f5d9a11e4c21bec9bc6a4f14afe9bb7f6bb7ebff70f3d83b7612aaf6eeac0,VERIFIED,True,alchemy|infura
ca2-35c4477f5ae385f13b96,ca2-35c4477f5ae385f13b96.json,a09e2732fd9253b7b9718423c8b25666e1368a9c9540f4a9160572c8322a0428,VERIFIED,True,alchemy|infura
ca2-3626b19eb243950f0171,ca2-3626b19eb243950f0171.json,9dc6fd7bbc6d22ea3233b752c9861a02b62f69ecc667918f897797db6b686030,VERIFIED,True,alchemy|infura
