abstraction,identity_key,n_cases,n_chains,n_addresses,cross_chain,cross_address,chains,addresses,case_ids
chain_address,bsc:0x335ddce3f07b0bdafc03f56c1b30d3b269366666,1,1,1,False,False,bsc,0x335ddce3f07b0bdafc03f56c1b30d3b269366666,ca2-604ce8fc1c483067805c
chain_address,bsc:0x33adbf5f1ec364a4ea3a5ca8f310b597b8afdee3,1,1,1,False,False,bsc,0x33adbf5f1ec364a4ea3a5ca8f310b597b8afdee3,ca2-7cd2beaa007600ae46b4
chain_address,bsc:0x34bd6dba456bc31c2b3393e499fa10bed32a9370,1,1,1,False,False,bsc,0x34bd6dba456bc31c2b3393e499fa10bed32a9370,ca2-29064c97bd3050d5cc0b
chain_address,bsc:0x35f5cef517317694df8c50c894080caa8c92af7d,1,1,1,False,False,bsc,0x35f5cef517317694df8c50c894080caa8c92af7d,ca2-17240c1cdca17b758810
chain_address,bsc:0x384b9fb6e42dab87f3023d87ea1575499a69998e,1,1,1,False,False,bsc,0x384b9fb6e42dab87f3023d87ea1575499a69998e,ca2-bc3880c8e3766b6a9ca4
chain_address,bsc:0x3aa2b9de4ce397d93e11699c3f07b769b210bbd5,1,1,1,False,False,bsc,0x3aa2b9de4ce397d93e11699c3f07b769b210bbd5,ca2-3a72b153af20c2c77bb7
chain_address,bsc:0x3da0f00d5c4e544924bc7282e18497c4a4c92046,1,1,1,False,False,bsc,0x3da0f00d5c4e544924bc7282e18497c4a4c92046,ca2-c6f760eb216df807a29b
chain_address,bsc:0x3de669c4f1f167a8afbc9993e4753b84b576426f,1,1,1,False,False,bsc,0x3de669c4f1f167a8afbc9993e4753b84b576426f,ca2-f655d6375b3979edab38
chain_address,bsc:0x42981d0bfbaf196529376ee702f2a9eb9092fcb5,1,1,1,False,False,bsc,0x42981d0bfbaf196529376ee702f2a9eb9092fcb5,ca2-6e83ea5ad89c085e5f5b
chain_address,bsc:0x42e2773508e2ae8ff9434bea599812e28449e2cd,1,1,1,False,False,bsc,0x42e2773508e2ae8ff9434bea599812e28449e2cd,ca2-b917178685db1ed39d90
chain_address,bsc:0x449fea37d339a11efe1b181e5d5462464bba3752,1,1,1,False,False,bsc,0x449fea37d339a11efe1b181e5d5462464bba3752,ca2-71d01a519d5b777ca8d5
chain_address,bsc:0x46ba8a59f4863bd20a066fd985b163235425b5f9,1,1,1,False,False,bsc,0x46ba8a59f4863bd20a066fd985b163235425b5f9,ca2-76e88e5b8b6fbabe3012
chain_address,bsc:0x4726010da871f4b57b5031e3ea48bde961f122aa,2,1,1,False,False,bsc,0x4726010da871f4b57b5031e3ea48bde961f122aa,ca2-61379f018c08925d7ecc|ca2-87e3cee3e857278adb8f
chain_address,bsc:0x489afbaed0ea796712c9a6d366c16ca3876d8184,1,1,1,False,False,bsc,0x489afbaed0ea796712c9a6d366c16ca3876d8184,ca2-8eea98fa7851e4eaf7d3
chain_address,bsc:0x493361d6164093936c86dcb35ad03b4c0d032076,1,1,1,False,False,bsc,0x493361d6164093936c86dcb35ad03b4c0d032076,ca2-7efff287d58605a4cc72
chain_address,bsc:0x495670e5a43ce393597952b2fe944036e6785baf,1,1,1,False,False,bsc,0x495670e5a43ce393597952b2fe944036e6785baf,ca2-5015a9e901810cc6c613
chain_address,bsc:0x4bbb53252b0cee84e6824e85989ea2eddeec25f1,1,1,1,False,False,bsc,0x4bbb53252b0cee84e6824e85989ea2eddeec25f1,ca2-a1560cfd50c54f038ab4
chain_address,bsc:0x4e87880a72f6896e7e0a635a5838ffc89b13bd17,1,1,1,False,False,bsc,0x4e87880a72f6896e7e0a635a5838ffc89b13bd17,ca2-5c60ed4125f7ab7d31ea
chain_address,bsc:0x518281f34dbf5b76e6cdd3908a6972e8ec49e345,1,1,1,False,False,bsc,0x518281f34dbf5b76e6cdd3908a6972e8ec49e345,ca2-0062515827b6285930f2
chain_address,bsc:0x564d4126af2b195ffaa7fb470ed658b1d9d07a54,1,1,1,False,False,bsc,0x564d4126af2b195ffaa7fb470ed658b1d9d07a54,ca2-003bb3e01f9c7c13410b
